game_id,commence_time,home_team,away_team,kickoff_local,nfl_week_index,total_mu,total_sigma,league_total_ref,p_over_at_model,p_over_at_league,home_score,away_score,winner
2024_05_NYJ_MIN,,MIN,NYJ,,,42.1875,10.5,45.8235294117647,0.5,0.36456294935372313,23.0,17.0,home
2024_05_CAR_CHI,,CHI,CAR,,,46.5625,10.5,45.8235294117647,0.5,0.5280536595554683,36.0,10.0,home
2024_05_BAL_CIN,,CIN,BAL,,,50.0,10.5,45.8235294117647,0.5,0.6545961171122918,38.0,41.0,away
2024_05_BUF_HOU,,HOU,BUF,,,42.875,10.5,45.8235294117647,0.5,0.3894271749597067,23.0,20.0,home
2024_05_IND_JAX,,JAX,IND,,,36.5625,10.5,45.8235294117647,0.5,0.1888876462488458,37.0,34.0,home
2024_05_MIA_NE,,NE,MIA,,,44.75,10.5,45.8235294117647,0.5,0.4592827336088976,10.0,15.0,away
2024_05_CLE_WAS,,WAS,CLE,,,37.375,10.5,45.8235294117647,0.5,0.2105189650478868,34.0,13.0,home
2024_05_LV_DEN,,DEN,LV,,,30.25,10.5,45.8235294117647,0.5,0.06901153341744926,34.0,18.0,home
2024_05_ARI_SF,,SF,ARI,,,47.9375,10.5,45.8235294117647,0.5,0.5797799349657947,23.0,24.0,away
2024_05_GB_LA,,LA,GB,,,48.375,10.5,45.8235294117647,0.5,0.595996216299501,19.0,24.0,away
2024_05_NYG_SEA,,SEA,NYG,,,39.75,10.5,45.8235294117647,0.5,0.28148645907236136,20.0,29.0,away
2024_05_DAL_PIT,,PIT,DAL,,,37.1875,10.5,45.8235294117647,0.5,0.20540216926614097,17.0,20.0,away
2024_05_NO_KC,,KC,NO,,,46.4375,10.5,45.8235294117647,0.5,0.5233142207824569,26.0,13.0,home
2024_06_SF_SEA,,SEA,SF,,,43.52083333333333,10.5,45.8235294117647,0.5,0.41320647182066483,24.0,36.0,away
2024_06_JAX_CHI,,CHI,JAX,,,43.1875,10.5,45.8235294117647,0.5,0.4008875637292034,35.0,16.0,home
2024_06_WAS_BAL,,BAL,WAS,,,53.6875,10.5,45.8235294117647,0.5,0.7730562022153459,30.0,23.0,home
2024_06_ARI_GB,,GB,ARI,,,45.375,10.5,45.8235294117647,0.5,0.4829635293387856,34.0,13.0,home
2024_06_HOU_NE,,NE,HOU,,,39.25,10.5,45.8235294117647,0.5,0.26564093533977673,21.0,41.0,away
2024_06_TB_NO,,NO,TB,,,47.4375,10.5,45.8235294117647,0.5,0.5610813854952109,27.0,51.0,away
2024_06_CLE_PHI,,PHI,CLE,,,45.125,10.5,45.8235294117647,0.5,0.47347928620150614,20.0,16.0,home
2024_06_IND_TEN,,TEN,IND,,,44.4375,10.5,45.8235294117647,0.5,0.4474910380824768,17.0,20.0,away
2024_06_LAC_DEN,,DEN,LAC,,,40.8125,10.5,45.8235294117647,0.5,0.31659529622226656,16.0,23.0,away
2024_06_PIT_LV,,LV,PIT,,,41.75,10.5,45.8235294117647,0.5,0.34902460027098225,13.0,32.0,away
2024_06_ATL_CAR,,CAR,ATL,,,47.25,10.5,45.8235294117647,0.5,0.5540317846248579,20.0,38.0,away
2024_06_DET_DAL,,DAL,DET,,,58.125,10.5,45.8235294117647,0.5,0.8793148550773691,9.0,47.0,away
2024_06_CIN_NYG,,NYG,CIN,,,46.8125,10.5,45.8235294117647,0.5,0.5375199624410179,7.0,17.0,away
2024_06_BUF_NYJ,,NYJ,BUF,,,35.3125,10.5,45.8235294117647,0.5,0.1584012164954508,20.0,23.0,away
2024_07_DEN_NO,,NO,DEN,,,48.1875,10.5,45.8235294117647,0.5,0.5890648397115992,10.0,33.0,away
2024_07_NE_JAX,,JAX,NE,,,46.0,10.5,45.8235294117647,0.5,0.5067045966374839,32.0,16.0,home
2024_07_SEA_ATL,,ATL,SEA,,,46.4375,10.5,45.8235294117647,0.5,0.5233142207824569,14.0,34.0,away
2024_07_TEN_BUF,,BUF,TEN,,,49.1875,10.5,45.8235294117647,0.5,0.6256591569193685,34.0,10.0,home
2024_07_CIN_CLE,,CLE,CIN,,,47.625,10.5,45.8235294117647,0.5,0.5681116633281559,14.0,21.0,away
2024_07_HOU_GB,,GB,HOU,,,45.60416666666667,10.5,45.8235294117647,0.5,0.4916660277953293,24.0,22.0,home
2024_07_MIA_IND,,IND,MIA,,,46.25,10.5,45.8235294117647,0.5,0.5161990839943507,16.0,10.0,home
2024_07_DET_MIN,,MIN,DET,,,48.35416666666667,10.5,45.8235294117647,0.5,0.5952275073954965,29.0,31.0,away
2024_07_PHI_NYG,,NYG,PHI,,,36.125,10.5,45.8235294117647,0.5,0.17782921665579,3.0,28.0,away
2024_07_LV_LA,,LA,LV,,,44.6875,10.5,45.8235294117647,0.5,0.4569211887909843,20.0,15.0,home
2024_07_CAR_WAS,,WAS,CAR,,,47.375,10.5,45.8235294117647,0.5,0.558733557228176,40.0,7.0,home
2024_07_KC_SF,,SF,KC,,,42.6875,10.5,45.8235294117647,0.5,0.3825961277253682,18.0,28.0,away
2024_07_NYJ_PIT,,PIT,NYJ,,,38.5,10.5,45.8235294117647,0.5,0.242751541170533,37.0,15.0,home
2024_07_BAL_TB,,TB,BAL,,,50.54166666666667,10.5,45.8235294117647,0.5,0.6734091065351806,31.0,41.0,away
2024_07_LAC_ARI,,ARI,LAC,,,46.70833333333333,10.5,45.8235294117647,0.5,0.5335779413410109,17.0,15.0,home
2024_08_MIN_LA,,LA,MIN,,,45.875,10.5,45.8235294117647,0.5,0.5019555915818396,30.0,20.0,home
2024_08_PHI_CIN,,CIN,PHI,,,48.70833333333333,10.5,45.8235294117647,0.5,0.6082432422560342,17.0,37.0,away
2024_08_BAL_CLE,,CLE,BAL,,,48.85416666666667,10.5,45.8235294117647,0.5,0.6135685433520609,29.0,24.0,home
2024_08_TEN_DET,,DET,TEN,,,45.375,10.5,45.8235294117647,0.5,0.4829635293387856,52.0,14.0,home
2024_08_IND_HOU,,HOU,IND,,,42.14583333333333,10.5,45.8235294117647,0.5,0.36307300292563904,23.0,20.0,home
2024_08_GB_JAX,,JAX,GB,,,47.6875,10.5,45.8235294117647,0.5,0.5704504175138851,27.0,30.0,away
2024_08_ARI_MIA,,MIA,ARI,,,44.97916666666667,10.5,45.8235294117647,0.5,0.4679533999908809,27.0,28.0,away
2024_08_NYJ_NE,,NE,NYJ,,,44.54166666666667,10.5,45.8235294117647,0.5,0.45141697276756987,25.0,22.0,home
2024_08_ATL_TB,,TB,ATL,,,52.375,10.5,45.8235294117647,0.5,0.7336696509380052,26.0,31.0,away
2024_08_NO_LAC,,LAC,NO,,,36.4375,10.5,45.8235294117647,0.5,0.1856856754493037,26.0,8.0,home
2024_08_BUF_SEA,,SEA,BUF,,,45.6875,10.5,45.8235294117647,0.5,0.49483177469093775,10.0,31.0,away
2024_08_CAR_DEN,,DEN,CAR,,,44.83333333333333,10.5,45.8235294117647,0.5,0.46243368199837254,28.0,14.0,home
2024_08_KC_LV,,LV,KC,,,42.79166666666667,10.5,45.8235294117647,0.5,0.38638679517100105,20.0,27.0,away
2024_08_CHI_WAS,,WAS,CHI,,,40.79166666666667,10.5,45.8235294117647,0.5,0.31588927715243054,18.0,15.0,home
2024_08_DAL_SF,,SF,DAL,,,45.375,10.5,45.8235294117647,0.5,0.4829635293387856,30.0,24.0,home
2024_08_NYG_PIT,,PIT,NYG,,,42.45833333333333,10.5,45.8235294117647,0.5,0.37429661134048153,26.0,18.0,home
2024_09_HOU_NYJ,,NYJ,HOU,,,38.458333333333336,10.5,45.8235294117647,0.5,0.24151197309095074,21.0,13.0,home
2024_09_DAL_ATL,,ATL,DAL,,,45.725,10.5,45.8235294117647,0.5,0.4962564789186924,27.0,21.0,home
2024_09_DEN_BAL,,BAL,DEN,,,45.75,10.5,45.8235294117647,0.5,0.4972063093852326,41.0,10.0,home
2024_09_MIA_BUF,,BUF,MIA,,,48.35416666666667,10.5,45.8235294117647,0.5,0.5952275073954965,30.0,27.0,home
2024_09_NO_CAR,,CAR,NO,,,45.66666666666667,10.5,45.8235294117647,0.5,0.4940402996619432,23.0,22.0,home
2024_09_LV_CIN,,CIN,LV,,,49.1875,10.5,45.8235294117647,0.5,0.6256591569193685,41.0,24.0,home
2024_09_LAC_CLE,,CLE,LAC,,,44.375,10.5,45.8235294117647,0.5,0.4451379191514263,10.0,27.0,away
2024_09_WAS_NYG,,NYG,WAS,,,45.5625,10.5,45.8235294117647,0.5,0.49008333871335075,22.0,27.0,away
2024_09_NE_TEN,,TEN,NE,,,40.89583333333333,10.5,45.8235294117647,0.5,0.3194260394594617,20.0,17.0,home
2024_09_CHI_ARI,,ARI,CHI,,,39.0,10.5,45.8235294117647,0.5,0.25789134708880335,29.0,9.0,home
2024_09_JAX_PHI,,PHI,JAX,,,44.97916666666667,10.5,45.8235294117647,0.5,0.4679533999908809,28.0,23.0,home
2024_09_DET_GB,,GB,DET,,,50.1875,10.5,45.8235294117647,0.5,0.6611545817965272,14.0,24.0,away
2024_09_LA_SEA,,SEA,LA,,,47.1125,10.5,45.8235294117647,0.5,0.5488510700957414,20.0,26.0,away
2024_09_IND_MIN,,MIN,IND,,,46.0,10.5,45.8235294117647,0.5,0.5067045966374839,21.0,13.0,home
2024_09_TB_KC,,KC,TB,,,49.64583333333333,10.5,45.8235294117647,0.5,0.6420818024018684,30.0,24.0,home
