game_id,commence_time,home_team,away_team,kickoff_local,nfl_week_index,home_line_model,spread_mu,spread_sigma,p_home_cover_at_model,p_home_cover_at_zero,home_score,away_score,winner
2024_10_DEN_KC,,KC,DEN,,,-6.3,6.31166674247073,13.5,0.8251217586673916,0.679939944284816,16.0,14.0,home
2024_10_ATL_NO,,NO,ATL,,,0.9,-0.9186961924722915,13.5,0.44586987278200607,0.4728722913109805,20.0,17.0,home
2024_10_SF_TB,,TB,SF,,,-2.5,2.4761721622871886,13.5,0.643130935062872,0.5727658206661843,20.0,23.0,away
2024_10_PIT_WAS,,WAS,PIT,,,-3.6,3.561130842453671,13.5,0.7011028047813458,0.6040281548275173,27.0,28.0,away
2024_10_TEN_LAC,,LAC,TEN,,,-6.0,6.028015805526138,13.5,0.8140819575069637,0.6723890533354991,27.0,17.0,home
2024_10_NYJ_ARI,,ARI,NYJ,,,-5.0,4.9515810981090285,13.5,0.7683938340193548,0.6431098481830733,31.0,6.0,home
2024_10_PHI_DAL,,DAL,PHI,,,-0.1,0.1461330641753317,13.5,0.5086361635770873,0.5043183347684759,6.0,34.0,away
2024_10_DET_HOU,,HOU,DET,,,-1.2,1.2038104128972753,13.5,0.5707729131489323,0.5355270502087235,23.0,26.0,away
2024_10_MIA_LA,,LA,MIA,,,-5.2,5.183051394015584,13.5,0.7787146594317123,0.6494847358087368,15.0,23.0,away
2024_11_WAS_PHI,,PHI,WAS,,,-3.7,3.72856027920524,13.5,0.7096557453100885,0.6087987969738549,26.0,18.0,home
2024_11_GB_CHI,,CHI,GB,,,-0.8,0.7644102798901258,13.5,0.5450822233338806,0.5225772372134438,19.0,20.0,away
2024_11_JAX_DET,,DET,JAX,,,-9.6,9.552422542431069,13.5,0.9214912146475991,0.7603990708679178,52.0,6.0,home
2024_11_LV_MIA,,MIA,LV,,,-4.2,4.15011200951808,13.5,0.7306669677747505,0.6207365119161337,34.0,19.0,home
2024_11_LA_NE,,NE,LA,,,-1.7,1.7045767115065988,13.5,0.5996842405230363,0.5502388966673316,22.0,28.0,away
2024_11_CLE_NO,,NO,CLE,,,-3.5,3.52087738267132,13.5,0.6990295601565881,0.6028788380716782,35.0,14.0,home
2024_11_IND_NYJ,,NYJ,IND,,,-2.2,2.1622875676027844,13.5,0.6256442807858382,0.5636262027644374,27.0,28.0,away
2024_11_BAL_PIT,,PIT,BAL,,,-3.5,3.4545573431492396,13.5,0.6955997007882095,0.6009833227586593,18.0,16.0,home
2024_11_MIN_TEN,,TEN,MIN,,,1.6,-1.575620557637409,13.5,0.4077155970846962,0.4535438891498258,13.0,23.0,away
2024_11_ATL_DEN,,DEN,ATL,,,-2.4,2.4451491014444606,13.5,0.6414152654061387,0.5718641527519933,38.0,6.0,home
2024_11_SEA_SF,,SF,SEA,,,-4.4,4.3949303850029535,13.5,0.7425092892154758,0.6276177273703012,17.0,20.0,away
2024_11_KC_BUF,,BUF,KC,,,-1.7,1.7256494134109868,13.5,0.6008901282069217,0.5508566165845539,30.0,21.0,home
2024_11_CIN_LAC,,LAC,CIN,,,-5.4,5.389466260246837,13.5,0.7876922399628183,0.6551343440647062,34.0,27.0,home
2024_11_HOU_DAL,,DAL,HOU,,,-0.7,0.7456491433546075,13.5,0.543980307581589,0.5220236880743324,10.0,34.0,away
2024_12_PIT_CLE,,CLE,PIT,,,2.9,-2.921476593142932,13.5,0.3325759145595756,0.4143357720916109,24.0,19.0,home
2024_12_KC_CAR,,CAR,KC,,,2.7,-2.6781625453880262,13.5,0.3457704471587628,0.42137293906649165,27.0,30.0,away
2024_12_MIN_CHI,,CHI,MIN,,,1.1,-1.1452603381534696,13.5,0.4326355427614931,0.4661966420329251,27.0,30.0,away
2024_12_TEN_HOU,,HOU,TEN,,,-7.2,7.175374762509389,13.5,0.8561132153199367,0.702467030576682,27.0,32.0,away
2024_12_DET_IND,,IND,DET,,,1.4,-1.3876834181736284,13.5,0.41855843495646805,0.4590642796207943,6.0,24.0,away
2024_12_NE_MIA,,MIA,NE,,,-4.5,4.516680871793005,13.5,0.7482962444888619,0.6310248659979703,34.0,15.0,home
2024_12_TB_NYG,,NYG,TB,,,-1.3,1.271059361541368,13.5,0.574681252490248,0.5375060096941067,7.0,30.0,away
2024_12_DAL_WAS,,WAS,DAL,,,-6.4,6.352031096177978,13.5,0.8266582406193697,0.6810085192261326,26.0,34.0,away
2024_12_DEN_LV,,LV,DEN,,,0.6,-0.6296138313573258,13.5,0.4628421001630151,0.4814008481330341,19.0,29.0,away
2024_12_SF_GB,,GB,SF,,,-5.2,5.175123692028257,13.5,0.7783655853782396,0.649267082837269,38.0,10.0,home
2024_12_ARI_SEA,,SEA,ARI,,,-1.8,1.783286949473929,13.5,0.6041834958273802,0.5525455550055873,16.0,6.0,home
2024_12_PHI_LA,,LA,PHI,,,-0.1,0.09543446733164687,13.5,0.5056402334270635,0.5028201871793093,20.0,37.0,away
2024_12_BAL_LAC,,LAC,BAL,,,-3.3,3.2682930463240196,13.5,0.6858750377756258,0.5956470264525673,23.0,30.0,away
2024_13_CHI_DET,,DET,CHI,,,-9.4,9.44376406543894,13.5,0.91910492674947,0.7578920877867611,23.0,20.0,home
2024_13_NYG_DAL,,DAL,NYG,,,-5.3,5.2804751612372085,13.5,0.7829786874561633,0.6521554536111351,27.0,20.0,home
2024_13_MIA_GB,,GB,MIA,,,-5.9,5.908760849443739,13.5,0.8093142290692026,0.6691930361834308,30.0,17.0,home
2024_13_LV_KC,,KC,LV,,,-10.7,10.706555100558658,13.5,0.9436480722110456,0.786133855507664,19.0,17.0,home
2024_13_LAC_ATL,,ATL,LAC,,,-2.1,2.0632338598616777,13.5,0.6200698618956566,0.5607346734133267,13.0,17.0,away
2024_13_PIT_CIN,,CIN,PIT,,,0.6,-0.6298398613563635,13.5,0.4628287992203206,0.4813941759201873,38.0,44.0,away
2024_13_HOU_JAX,,JAX,HOU,,,0.7,-0.7120337425540666,13.5,0.4579948986151905,0.4789682431315946,20.0,23.0,away
2024_13_ARI_MIN,,MIN,ARI,,,-5.8,5.795471547238168,13.5,0.8047161736626507,0.666145427291027,23.0,22.0,home
2024_13_IND_NE,,NE,IND,,,-1.0,0.9770332277877266,13.5,0.5575441576922399,0.5288473973723118,24.0,25.0,away
2024_13_SEA_NYJ,,NYJ,SEA,,,-0.4,0.3512449004239153,13.5,0.5207501079647023,0.5103785654475737,21.0,26.0,away
2024_13_TEN_WAS,,WAS,TEN,,,-5.7,5.674872331614345,13.5,0.799748105091084,0.6628890913702896,42.0,19.0,home
2024_13_TB_CAR,,CAR,TB,,,-1.3,1.3107811044740836,13.5,0.5769863627226091,0.5386744831923791,23.0,26.0,away
2024_13_LA_NO,,NO,LA,,,-2.0,1.9541425603610811,13.5,0.6139016053235308,0.5575463832484551,14.0,21.0,away
2024_13_PHI_BAL,,BAL,PHI,,,-1.8,1.7530642783868353,13.5,0.6024575052822343,0.551660064403952,19.0,24.0,away
2024_13_SF_BUF,,BUF,SF,,,-7.1,7.070660646055144,13.5,0.8525667010786477,0.6997747013463553,35.0,10.0,home
2024_13_CLE_DEN,,DEN,CLE,,,-6.6,6.560159570918631,13.5,0.8344437532102811,0.6864943474205878,41.0,32.0,home
2024_14_GB_DET,,DET,GB,,,-5.1,5.074075286714395,13.5,0.773888723146648,0.6464885545895211,34.0,31.0,home
2024_14_NYJ_MIA,,MIA,NYJ,,,-5.1,5.051277687875402,13.5,0.7728716750991611,0.6458606019354336,32.0,26.0,home
2024_14_ATL_MIN,,MIN,ATL,,,-7.0,6.974438034566115,13.5,0.8492565587846865,0.6972910335954787,42.0,21.0,home
2024_14_NO_NYG,,NYG,NO,,,-1.2,1.184498678628105,13.5,0.569649262776923,0.5349585920803412,11.0,14.0,away
2024_14_CAR_PHI,,PHI,CAR,,,-10.0,10.0417434407881,13.5,0.9315804605764235,0.7715111973069291,22.0,16.0,home
2024_14_CLE_PIT,,PIT,CLE,,,-8.6,8.554881555575433,13.5,0.8974920381594926,0.73686003284599,27.0,14.0,home
2024_14_LV_TB,,TB,LV,,,-6.6,6.629347513387802,13.5,0.8369810020392753,0.6883089768950827,28.0,13.0,home
2024_14_JAX_TEN,,TEN,JAX,,,-4.2,4.160086136540034,13.5,0.7311547188923495,0.6210176246123595,6.0,10.0,away
2024_14_SEA_ARI,,ARI,SEA,,,-2.3,2.2889332007756735,13.5,0.6327332583876003,0.5673182152409453,18.0,30.0,away
2024_14_BUF_LA,,LA,BUF,,,0.8,-0.752042409930085,13.5,0.45564415215621423,0.4777876731537991,44.0,42.0,home
2024_14_CHI_SF,,SF,CHI,,,-4.3,4.2510077155579395,13.5,0.7355803805589598,0.6235772078929093,38.0,13.0,home
