game_id,commence_time,home_team,away_team,home_elo_pre,away_elo_pre,home_win_prob,away_win_prob,home_fair_odds,away_fair_odds,nfl_week_index,kickoff_local,home_score,away_score,winner
2024_01_BAL_KC,,KC,BAL,1500.0,1500.0,0.5784967523447427,0.42150324765525726,1.7286181745132279,2.3724609610075618,,,27.0,20.0,home
2024_01_GB_PHI,,PHI,GB,1500.0,1500.0,0.5784967523447427,0.42150324765525726,1.7286181745132279,2.3724609610075618,,,34.0,29.0,home
2024_01_PIT_ATL,,ATL,PIT,1500.0,1500.0,0.5784967523447427,0.42150324765525726,1.7286181745132279,2.3724609610075618,,,10.0,18.0,away
2024_01_ARI_BUF,,BUF,ARI,1500.0,1500.0,0.5784967523447427,0.42150324765525726,1.7286181745132279,2.3724609610075618,,,34.0,28.0,home
2024_01_TEN_CHI,,CHI,TEN,1500.0,1500.0,0.5784967523447427,0.42150324765525726,1.7286181745132279,2.3724609610075618,,,24.0,17.0,home
2024_01_NE_CIN,,CIN,NE,1500.0,1500.0,0.5784967523447427,0.42150324765525726,1.7286181745132279,2.3724609610075618,,,10.0,16.0,away
2024_01_HOU_IND,,IND,HOU,1500.0,1500.0,0.5784967523447427,0.42150324765525726,1.7286181745132279,2.3724609610075618,,,27.0,29.0,away
2024_01_JAX_MIA,,MIA,JAX,1500.0,1500.0,0.5784967523447427,0.42150324765525726,1.7286181745132279,2.3724609610075618,,,20.0,17.0,home
2024_01_CAR_NO,,NO,CAR,1500.0,1500.0,0.5784967523447427,0.42150324765525726,1.7286181745132279,2.3724609610075618,,,47.0,10.0,home
2024_01_MIN_NYG,,NYG,MIN,1500.0,1500.0,0.5784967523447427,0.42150324765525726,1.7286181745132279,2.3724609610075618,,,6.0,28.0,away
2024_01_LV_LAC,,LAC,LV,1500.0,1500.0,0.5784967523447427,0.42150324765525726,1.7286181745132279,2.3724609610075618,,,22.0,10.0,home
2024_01_DEN_SEA,,SEA,DEN,1500.0,1500.0,0.5784967523447427,0.42150324765525726,1.7286181745132279,2.3724609610075618,,,26.0,20.0,home
2024_01_DAL_CLE,,CLE,DAL,1500.0,1500.0,0.5784967523447427,0.42150324765525726,1.7286181745132279,2.3724609610075618,,,17.0,33.0,away
2024_01_WAS_TB,,TB,WAS,1500.0,1500.0,0.5784967523447427,0.42150324765525726,1.7286181745132279,2.3724609610075618,,,37.0,20.0,home
2024_01_LA_DET,,DET,LA,1500.0,1500.0,0.5784967523447427,0.42150324765525726,1.7286181745132279,2.3724609610075618,,,26.0,20.0,home
2024_01_NYJ_SF,,SF,NYJ,1500.0,1500.0,0.5784967523447427,0.42150324765525726,1.7286181745132279,2.3724609610075618,,,32.0,19.0,home
2024_02_BUF_MIA,,MIA,BUF,1508.430064953105,1508.430064953105,0.5784967523447427,0.42150324765525726,1.7286181745132279,2.3724609610075618,,,10.0,31.0,away
2024_02_LV_BAL,,BAL,LV,1491.569935046895,1491.569935046895,0.5784967523447427,0.42150324765525726,1.7286181745132279,2.3724609610075618,,,23.0,26.0,away
2024_02_LAC_CAR,,CAR,LAC,1491.569935046895,1508.430064953105,0.5546682657033499,0.4453317342966501,1.8028794179020589,2.2455170449044783,,,3.0,26.0,away
2024_02_NO_DAL,,DAL,NO,1511.569935046895,1508.430064953105,0.5828976542102174,0.41710234578978256,1.7155670344134855,2.397493109530472,,,19.0,44.0,away
2024_02_TB_DET,,DET,TB,1508.430064953105,1508.430064953105,0.5784967523447427,0.42150324765525726,1.7286181745132279,2.3724609610075618,,,16.0,20.0,away
2024_02_IND_GB,,GB,IND,1491.569935046895,1488.430064953105,0.5828976542102174,0.41710234578978256,1.7155670344134855,2.397493109530472,,,16.0,10.0,home
2024_02_CLE_JAX,,JAX,CLE,1491.569935046895,1488.430064953105,0.5828976542102174,0.41710234578978256,1.7155670344134855,2.397493109530472,,,13.0,18.0,away
2024_02_SF_MIN,,MIN,SF,1511.569935046895,1508.430064953105,0.5828976542102174,0.41710234578978256,1.7155670344134855,2.397493109530472,,,23.0,17.0,home
2024_02_SEA_NE,,NE,SEA,1511.569935046895,1508.430064953105,0.5828976542102174,0.41710234578978256,1.7155670344134855,2.397493109530472,,,20.0,23.0,away
2024_02_NYJ_TEN,,TEN,NYJ,1491.569935046895,1491.569935046895,0.5784967523447427,0.42150324765525726,1.7286181745132279,2.3724609610075618,,,17.0,24.0,away
2024_02_NYG_WAS,,WAS,NYG,1491.569935046895,1488.430064953105,0.5828976542102174,0.41710234578978256,1.7155670344134855,2.397493109530472,,,21.0,18.0,home
2024_02_LA_ARI,,ARI,LA,1491.569935046895,1491.569935046895,0.5784967523447427,0.42150324765525726,1.7286181745132279,2.3724609610075618,,,41.0,10.0,home
2024_02_PIT_DEN,,DEN,PIT,1491.569935046895,1511.569935046895,0.550199353253537,0.44980064674646303,1.81752303794365,2.2232071190499316,,,6.0,13.0,away
2024_02_CIN_KC,,KC,CIN,1508.430064953105,1488.430064953105,0.6062878237854281,0.3937121762145719,1.6493816315762115,2.539926526059492,,,26.0,25.0,home
2024_02_CHI_HOU,,HOU,CHI,1511.569935046895,1508.430064953105,0.5828976542102174,0.41710234578978256,1.7155670344134855,2.397493109530472,,,19.0,13.0,home
2024_02_ATL_PHI,,PHI,ATL,1508.430064953105,1488.430064953105,0.6062878237854281,0.3937121762145719,1.6493816315762115,2.539926526059492,,,21.0,22.0,away
2024_03_NE_NYJ,,NYJ,NE,1503.1398700937898,1499.9119819626906,0.5830208353071719,0.41697916469282814,1.7152045680719754,2.398201360340534,,,24.0,3.0,home
